note length,note sound
quarter,F#4
eighth,C#5
eighth,A#4
quarter,A#4
eighth,G#4
eighth,F#4
eighth,F#4
quarter,B4
eighth,A#4
eighth,A#4
eighth,G#4
eighth,G#4
quarter,F#4
eighth,F#4
eighth,C#5
eighth,A#4
quarter,A#4
eighth,G#4
eighth,F#4
eighth,F#4
quarter,D#4
quarter+eighth,C#4
quarter,REST
eighth,F#4
eighth,F#4
eighth,C#5
eighth,A#4
eighth,A#4
eighth,G#4
eighth,G#4
eighth,F#4
eighth,F#4
quarter,B4
eighth,A#4
eighth,A#4
eighth,G#4
eighth,G#4
eighth,F#4
eighth,F#4
quarter,C#5
eighth,A#4
eighth,A#4
quarter,G#4
eighth,F#4
eighth,F#4
quarter,G#4
quarter+eighth,D#4
eighth+sixteenth,F#4
sixteenth,D#4
eighth,F#4
eighth,F#4
sixteenth,F#4
sixteenth,F#4
sixteenth,D#4
sixteenth,C#4
eighth,F#4
eighth,F#4
sixteenth,F#4
eighth+sixteenth,F#4
eighth,F#4
sixteenth,F#4
sixteenth,F#4
eighth,F#4
sixteenth,F#4
sixteenth,F#4
sixteenth,F#4
sixteenth,F#4
eighth,F#4
sixteenth,A#4
eighth+sixteenth,F#4
sixteenth,A#4
sixteenth,A#4
eighth,C#5
eighth,B4
sixteenth,A#4
sixteenth,F#4
eighth,G#4
eighth,G#4
eighth+sixteenth,G#4
sixteenth,G#4
eighth,A#4
eighth,F#4
eighth,F#4
sixteenth,D#4
sixteenth,C#4
eighth,F#4
eighth,F#4
eighth,F#4
eighth,REST
sixteenth,A#4
eighth,C#5
sixteenth,A#4
eighth,D#5
sixteenth,A#4
eighth,C#5
sixteenth,A#4
eighth,D#5
sixteenth,A#4
eighth,C#5
eighth,B4
eighth,A#4
eighth,G#4
eighth,F#4
sixteenth,F#4
eighth,G#4
quarter,F#4
sixteenth,REST
sixteenth,F#4
sixteenth,F#4
sixteenth,F#4
eighth,F#4
sixteenth,F#4
sixteenth,F#4
eighth,F#4
quarter,F#4
eighth,REST
sixteenth,F#4
sixteenth,F#4
sixteenth,A#4
sixteenth,F#4
eighth,F#4
sixteenth,F#4
sixteenth,D#4
eighth,D#4
quarter,D#4
quarter,REST
eighth,A#4
quarter,F#4
sixteenth,F#4
sixteenth,D#4
eighth,F#4
quarter,F#4
sixteenth,F#4
sixteenth,D#4
eighth,F#4
quarter,F#4
quarter,F#4
quarter+eighth,A#4
eighth,A#4
quarter,F#4
sixteenth,F#4
sixteenth,D#4
eighth,F#4
quarter,F#4
sixteenth,F#4
sixteenth,D#4
eighth,F#4
quarter,F#4
quarter,F#4
quarter,A#4
eighth,REST
quarter,A#4
quarter,C#5
eighth,B4
eighth,C#5
eighth,D#5
quarter,F#5
eighth,G#5
quarter,F#5
eighth,F#4
eighth,F#4
eighth,G#4
eighth,F#4
eighth,A#4
quarter,G#4
quarter,G#4
quarter,F#4
quarter,G#4
eighth,A#4
half+eighth,D#4
sixteenth,D#4
sixteenth,D#4
eighth,A#4
quarter,F#4
sixteenth,F#4
sixteenth,D#4
sixteenth,F#4
sixteenth,D#4
eighth,F#4
sixteenth,F#4
eighth,F#4
sixteenth,D#4
sixteenth,F#4
sixteenth,F#4
eighth,F#4
eighth,F#4
eighth,F#4
sixteenth,F#4
sixteenth,F#4
eighth,F#4
sixteenth,A#4
sixteenth,F#4
sixteenth,F#4
sixteenth,F#4
sixteenth,A#4
sixteenth,A#4
sixteenth,C#5
eighth,B4
eighth,A#4
sixteenth,F#4
sixteenth,G#4
eighth+sixteenth,A#4
sixteenth,F#4
sixteenth,F#4
sixteenth,F#4
sixteenth,G#4
eighth,A#4
sixteenth,F#4
sixteenth,F#4
sixteenth,G#4
sixteenth,D#4
eighth,D#4
sixteenth,D#4
eighth,C#4
sixteenth,C#4
eighth,A#4
eighth,C#5
eighth+sixteenth,D#5
sixteenth,C#5
sixteenth,A#4
sixteenth,F#4
sixteenth,F#4
sixteenth,F#4
eighth+sixteenth,F#4
sixteenth,F#4
sixteenth,A#4
sixteenth,A#4
sixteenth,C#5
sixteenth,C#5
eighth,B4
sixteenth,A#4
sixteenth,A#4
sixteenth,A#4
sixteenth,D#4
eighth,D#4
eighth+sixteenth,D#4
sixteenth,C#4
eighth,D#5
eighth,C#5
quarter,C#5
sixteenth,A#4
eighth,F#4
quarter+sixteenth,F#4
sixteenth,F#4
sixteenth,F#4
sixteenth,F#4
sixteenth,G#4
sixteenth,A#4
sixteenth,G#4
sixteenth,F#4
sixteenth,G#4
sixteenth,A#4
sixteenth,D#4
eighth,D#4
eighth,D#4
eighth,REST
quarter,REST
eighth,A#4
quarter,F#4
sixteenth,F#4
sixteenth,D#4
eighth,F#4
quarter,F#4
sixteenth,F#4
sixteenth,D#4
eighth,F#4
quarter,F#4
quarter,F#4
quarter+eighth,A#4
eighth,A#4
quarter,F#4
sixteenth,F#4
sixteenth,D#4
eighth,F#4
quarter,F#4
sixteenth,F#4
sixteenth,D#4
eighth,F#4
quarter,F#4
quarter,F#4
quarter,A#4
eighth,REST
quarter,A#4
quarter,C#5
eighth,B4
eighth,C#5
eighth,D#5
quarter,F#5
eighth,G#5
quarter,F#5
eighth,F#4
eighth,F#4
eighth,G#4
eighth,F#4
eighth,A#4
quarter,G#4
quarter,G#4
quarter,F#4
quarter,G#4
eighth,A#4
half+quarter,D#4
